GEO_PICT,signal,TIME_PERIOD,OBS_VALUE
FM,sea,1916,-0.4
FM,sea,1917,-0.8
FM,sea,1918,-0.8
FM,sea,1919,-1
FM,sea,1920,-0.7
FM,sea,1921,-0.2
FM,sea,1922,-0.1
FM,sea,1923,-0.4
FM,sea,1924,-0.3
FM,sea,1925,-0.2
FM,sea,1926,-0.3
FM,sea,1927,-0.3
FM,sea,1928,-0.4
FM,sea,1929,-0.4
FM,sea,1930,-0.5
FM,sea,1931,-0.3
FM,sea,1932,-0.5
FM,sea,1933,-0.5
FM,sea,1934,-0.4
FM,sea,1935,-0.4
FM,sea,1936,-0.4
FM,sea,1937,-0.3
FM,sea,1938,-0.4
FM,sea,1939,-0.3
FM,sea,1940,-0.4
FM,sea,1941,-0.3
FM,sea,1942,-0.3
FM,sea,1943,0.3
FM,sea,1944,0.2
FM,sea,1945,0.2
FM,sea,1946,0.2
FM,sea,1947,-0.1
FM,sea,1948,-0.3
FM,sea,1949,-0.4
FM,sea,1950,-0.2
FM,sea,1951,-0.2
FM,sea,1952,-0.3
FM,sea,1953,-0.2
FM,sea,1954,-0.2
FM,sea,1955,-0.4
FM,sea,1956,-0.2
FM,sea,1957,-0.3
FM,sea,1958,-0.4
FM,sea,1959,-0.3
FM,sea,1960,-0.2
FM,sea,1961,-0.2
FM,sea,1962,-0.1
FM,sea,1963,0
FM,sea,1964,-0.1
FM,sea,1965,-0.4
FM,sea,1966,-0.3
FM,sea,1967,-0.2
FM,sea,1968,-0.1
FM,sea,1969,0
FM,sea,1970,0
FM,sea,1971,-0.2
FM,sea,1972,-0.5
FM,sea,1973,-0.2
FM,sea,1974,-0.2
FM,sea,1975,-0.3
FM,sea,1976,-0.3
FM,sea,1977,-0.2
FM,sea,1978,-0.1
FM,sea,1979,-0.1
FM,sea,1980,-0.1
FM,sea,1981,0.1
FM,sea,1982,-0.1
FM,sea,1983,-0.2
FM,sea,1984,0.1
FM,sea,1985,0
FM,sea,1986,0
FM,sea,1987,-0.1
FM,sea,1988,0.2
FM,sea,1989,0.1
FM,sea,1990,0
FM,sea,1991,-0.1
FM,sea,1992,-0.3
FM,sea,1993,-0.4
FM,sea,1994,0
FM,sea,1995,0.3
FM,sea,1996,0.4
FM,sea,1997,0
FM,sea,1998,0.1
FM,sea,1999,0.2
FM,sea,2000,0.2
FM,sea,2001,0.4
FM,sea,2002,0.3
FM,sea,2003,0.4
FM,sea,2004,0.3
FM,sea,2005,0.3
FM,sea,2006,0.3
FM,sea,2007,0.4
FM,sea,2008,0.3
FM,sea,2009,0.4
FM,sea,2010,0.4
FM,sea,2011,0.4
FM,sea,2012,0.4
FM,sea,2013,0.5
FM,sea,2014,0.6
FM,sea,2015,0.3
FM,sea,2016,0.6
FM,sea,2017,0.7
FM,sea,2018,0.6
FM,sea,2019,0.5
FM,sea,2020,0.7
FM,sea,2021,0.7
FM,sea,2022,0.6
FM,sea,2023,0.7
FM,sea,2024,0.8
FM,sea,2025,0.9
WS,sea,1850,0.1
WS,sea,1851,-0.3
WS,sea,1852,0
WS,sea,1853,0.3
WS,sea,1854,0.1
WS,sea,1855,-0.2
WS,sea,1856,-0.2
WS,sea,1857,-0.5
WS,sea,1858,-0.2
WS,sea,1859,0.1
WS,sea,1860,-0.3
WS,sea,1861,-0.5
WS,sea,1862,-0.4
WS,sea,1863,-0.4
WS,sea,1864,-0.3
WS,sea,1865,-0.3
WS,sea,1866,-0.3
WS,sea,1867,-0.2
WS,sea,1868,-0.2
WS,sea,1869,-0.1
WS,sea,1870,-0.4
WS,sea,1871,-0.1
WS,sea,1872,-0.1
WS,sea,1873,-0.4
WS,sea,1874,-0.1
WS,sea,1875,-0.2
WS,sea,1876,-0.2
WS,sea,1877,-0.2
WS,sea,1878,-0.2
WS,sea,1879,-0.3
WS,sea,1880,-0.3
WS,sea,1881,0.1
WS,sea,1882,0
WS,sea,1883,-0.4
WS,sea,1884,-0.4
WS,sea,1885,-0.5
WS,sea,1886,-0.4
WS,sea,1887,-0.4
WS,sea,1888,-0.2
WS,sea,1889,-0.2
WS,sea,1890,-0.5
WS,sea,1891,-0.4
WS,sea,1892,-0.3
WS,sea,1893,-0.7
WS,sea,1894,-0.3
WS,sea,1895,-0.2
WS,sea,1896,-0.3
WS,sea,1897,-0.2
WS,sea,1898,-0.3
WS,sea,1899,-0.2
WS,sea,1900,0.2
WS,sea,1901,0.1
WS,sea,1902,-0.4
WS,sea,1903,-0.2
WS,sea,1904,-0.6
WS,sea,1905,-0.4
WS,sea,1906,-0.3
WS,sea,1907,-0.4
WS,sea,1908,-0.5
WS,sea,1909,-0.8
WS,sea,1910,-0.9
WS,sea,1911,-0.6
WS,sea,1912,-0.3
WS,sea,1913,-0.5
WS,sea,1914,-0.3
WS,sea,1915,-0.2
WS,sea,1916,-0.5
WS,sea,1917,-1
WS,sea,1918,-0.6
WS,sea,1919,-0.9
WS,sea,1920,-0.5
WS,sea,1921,-0.5
WS,sea,1922,-0.2
WS,sea,1923,-0.4
WS,sea,1924,-0.2
WS,sea,1925,-0.3
WS,sea,1926,-0.2
WS,sea,1927,-0.3
WS,sea,1928,-0.3
WS,sea,1929,-0.3
WS,sea,1930,-0.3
WS,sea,1931,-0.3
WS,sea,1932,-0.2
WS,sea,1933,-0.6
WS,sea,1934,-0.4
WS,sea,1935,-0.4
WS,sea,1936,-0.3
WS,sea,1937,-0.3
WS,sea,1938,-0.4
WS,sea,1939,-0.6
WS,sea,1940,-0.1
WS,sea,1941,0.1
WS,sea,1942,0
WS,sea,1943,0
WS,sea,1944,0.1
WS,sea,1945,0.1
WS,sea,1946,0.2
WS,sea,1947,0.1
WS,sea,1948,-0.2
WS,sea,1949,-0.2
WS,sea,1950,-0.3
WS,sea,1951,-0.1
WS,sea,1952,0.1
WS,sea,1953,0.1
WS,sea,1954,-0.1
WS,sea,1955,-0.4
WS,sea,1956,-0.4
WS,sea,1957,-0.2
WS,sea,1958,0
WS,sea,1959,0.1
WS,sea,1960,-0.1
WS,sea,1961,0
WS,sea,1962,-0.1
WS,sea,1963,0
WS,sea,1964,-0.2
WS,sea,1965,-0.3
WS,sea,1966,0
WS,sea,1967,-0.3
WS,sea,1968,-0.1
WS,sea,1969,0.2
WS,sea,1970,0
WS,sea,1971,-0.3
WS,sea,1972,-0.2
WS,sea,1973,0.1
WS,sea,1974,-0.4
WS,sea,1975,-0.4
WS,sea,1976,-0.4
WS,sea,1977,0
WS,sea,1978,0
WS,sea,1979,0
WS,sea,1980,0.2
WS,sea,1981,-0.1
WS,sea,1982,0
WS,sea,1983,-0.2
WS,sea,1984,0
WS,sea,1985,-0.2
WS,sea,1986,0
WS,sea,1987,0
WS,sea,1988,0.1
WS,sea,1989,-0.2
WS,sea,1990,0.1
WS,sea,1991,0.4
WS,sea,1992,0.2
WS,sea,1993,0.1
WS,sea,1994,0.3
WS,sea,1995,0.3
WS,sea,1996,0.1
WS,sea,1997,-0.1
WS,sea,1998,-0.2
WS,sea,1999,0
WS,sea,2000,0.2
WS,sea,2001,0.2
WS,sea,2002,0.4
WS,sea,2003,0.5
WS,sea,2004,0.5
WS,sea,2005,0.6
WS,sea,2006,0.5
WS,sea,2007,0.5
WS,sea,2008,0.1
WS,sea,2009,0.4
WS,sea,2010,0.4
WS,sea,2011,0
WS,sea,2012,0.4
WS,sea,2013,0.5
WS,sea,2014,0.6
WS,sea,2015,0.5
WS,sea,2016,0.6
WS,sea,2017,0.6
WS,sea,2018,0.6
WS,sea,2019,0.7
WS,sea,2020,0.6
WS,sea,2021,0.4
WS,sea,2022,0.3
WS,sea,2023,0.6
WS,sea,2024,0.8
WS,sea,2025,0.5
PG,sea,1850,0
PG,sea,1851,0.3
PG,sea,1852,0.1
PG,sea,1853,0
PG,sea,1854,-0.3
PG,sea,1855,-0.5
PG,sea,1856,-0.4
PG,sea,1857,0
PG,sea,1858,-0.4
PG,sea,1859,0.1
PG,sea,1860,-0.3
PG,sea,1861,-1
PG,sea,1862,-0.4
PG,sea,1863,-0.2
PG,sea,1864,0.2
PG,sea,1865,0
PG,sea,1866,0
PG,sea,1867,-0.2
PG,sea,1868,-0.3
PG,sea,1869,0.2
PG,sea,1870,-0.1
PG,sea,1871,-0.1
PG,sea,1872,-0.1
PG,sea,1873,-0.1
PG,sea,1874,0.1
PG,sea,1875,-0.1
PG,sea,1876,-0.1
PG,sea,1877,-0.3
PG,sea,1878,0.2
PG,sea,1879,-0.1
PG,sea,1880,-0.2
PG,sea,1881,0.2
PG,sea,1882,0.1
PG,sea,1883,-0.5
PG,sea,1884,-0.7
PG,sea,1885,-0.9
PG,sea,1886,-0.4
PG,sea,1887,-0.2
PG,sea,1888,-0.5
PG,sea,1889,-0.1
PG,sea,1890,0
PG,sea,1891,0
PG,sea,1892,0
PG,sea,1893,0
PG,sea,1894,-0.2
PG,sea,1895,-0.3
PG,sea,1896,-0.3
PG,sea,1897,0
PG,sea,1898,-0.4
PG,sea,1899,-0.5
PG,sea,1900,0
PG,sea,1901,-0.5
PG,sea,1902,-1.1
PG,sea,1903,-0.8
PG,sea,1904,-0.9
PG,sea,1905,-1
PG,sea,1906,-0.7
PG,sea,1907,-0.3
PG,sea,1908,-0.3
PG,sea,1909,-0.4
PG,sea,1910,-0.3
PG,sea,1911,-0.9
PG,sea,1912,-0.7
PG,sea,1913,-0.7
PG,sea,1914,-0.8
PG,sea,1915,-0.5
PG,sea,1916,-0.3
PG,sea,1917,-0.8
PG,sea,1918,-0.9
PG,sea,1919,-1.2
PG,sea,1920,-0.8
PG,sea,1921,-0.2
PG,sea,1922,-0.2
PG,sea,1923,-0.5
PG,sea,1924,-0.3
PG,sea,1925,-0.5
PG,sea,1926,-0.5
PG,sea,1927,-0.4
PG,sea,1928,-0.4
PG,sea,1929,-0.6
PG,sea,1930,-0.6
PG,sea,1931,-0.3
PG,sea,1932,-0.6
PG,sea,1933,-0.4
PG,sea,1934,-0.4
PG,sea,1935,-0.5
PG,sea,1936,-0.4
PG,sea,1937,-0.4
PG,sea,1938,-0.3
PG,sea,1939,-0.5
PG,sea,1940,-0.6
PG,sea,1941,-0.6
PG,sea,1942,-0.2
PG,sea,1943,0.3
PG,sea,1944,0.1
PG,sea,1945,0.2
PG,sea,1946,-0.2
PG,sea,1947,-0.5
PG,sea,1948,-0.6
PG,sea,1949,-0.8
PG,sea,1950,-0.3
PG,sea,1951,-0.5
PG,sea,1952,-0.5
PG,sea,1953,-0.5
PG,sea,1954,-0.4
PG,sea,1955,-0.5
PG,sea,1956,-0.1
PG,sea,1957,-0.5
PG,sea,1958,-0.5
PG,sea,1959,-0.5
PG,sea,1960,-0.3
PG,sea,1961,-0.3
PG,sea,1962,0
PG,sea,1963,-0.1
PG,sea,1964,-0.1
PG,sea,1965,-0.8
PG,sea,1966,-0.5
PG,sea,1967,-0.3
PG,sea,1968,-0.1
PG,sea,1969,0
PG,sea,1970,0.1
PG,sea,1971,-0.1
PG,sea,1972,-0.5
PG,sea,1973,0
PG,sea,1974,-0.1
PG,sea,1975,-0.2
PG,sea,1976,-0.3
PG,sea,1977,-0.2
PG,sea,1978,0
PG,sea,1979,-0.1
PG,sea,1980,-0.2
PG,sea,1981,0.1
PG,sea,1982,-0.4
PG,sea,1983,-0.2
PG,sea,1984,0
PG,sea,1985,0
PG,sea,1986,0
PG,sea,1987,-0.3
PG,sea,1988,0.2
PG,sea,1989,0.2
PG,sea,1990,0
PG,sea,1991,-0.1
PG,sea,1992,-0.4
PG,sea,1993,-0.6
PG,sea,1994,-0.1
PG,sea,1995,0.3
PG,sea,1996,0.5
PG,sea,1997,-0.2
PG,sea,1998,0.4
PG,sea,1999,0.2
PG,sea,2000,0.3
PG,sea,2001,0.4
PG,sea,2002,0.3
PG,sea,2003,0.4
PG,sea,2004,0.3
PG,sea,2005,0.4
PG,sea,2006,0.2
PG,sea,2007,0.5
PG,sea,2008,0.3
PG,sea,2009,0.4
PG,sea,2010,0.6
PG,sea,2011,0.4
PG,sea,2012,0.3
PG,sea,2013,0.4
PG,sea,2014,0.3
PG,sea,2015,0.1
PG,sea,2016,0.7
PG,sea,2017,0.7
PG,sea,2018,0.5
PG,sea,2019,0.3
PG,sea,2020,0.8
PG,sea,2021,0.6
PG,sea,2022,0.8
PG,sea,2023,0.6
PG,sea,2024,0.9
PG,sea,2025,1.1
PW,sea,1850,0
PW,sea,1851,0.1
PW,sea,1852,0.1
PW,sea,1853,0.1
PW,sea,1854,0.2
PW,sea,1855,-0.5
PW,sea,1856,0
PW,sea,1857,-0.1
PW,sea,1858,-0.6
PW,sea,1859,0.1
PW,sea,1860,-0.1
PW,sea,1861,-0.7
PW,sea,1862,-0.7
PW,sea,1863,-0.1
PW,sea,1864,-0.1
PW,sea,1865,0
PW,sea,1866,0
PW,sea,1867,-0.2
PW,sea,1868,-0.2
PW,sea,1869,0.3
PW,sea,1870,0.2
PW,sea,1871,-0.1
PW,sea,1872,0.1
PW,sea,1873,0.2
PW,sea,1874,0
PW,sea,1875,-0.2
PW,sea,1876,0
PW,sea,1877,0
PW,sea,1878,0.4
PW,sea,1879,0.1
PW,sea,1880,-0.2
PW,sea,1881,-0.1
PW,sea,1882,0
PW,sea,1883,-0.6
PW,sea,1884,-0.9
PW,sea,1885,-0.5
PW,sea,1886,-0.1
PW,sea,1887,0.1
PW,sea,1888,-0.1
PW,sea,1889,0.3
PW,sea,1890,0.2
PW,sea,1891,0.2
PW,sea,1892,0.1
PW,sea,1893,-0.1
PW,sea,1894,-0.2
PW,sea,1895,-0.1
PW,sea,1896,-0.3
PW,sea,1897,0.3
PW,sea,1898,-0.1
PW,sea,1899,-0.4
PW,sea,1900,0
PW,sea,1901,-0.4
PW,sea,1902,-0.6
PW,sea,1903,-0.5
PW,sea,1904,-0.7
PW,sea,1905,-0.8
PW,sea,1906,-0.5
PW,sea,1907,-0.5
PW,sea,1908,-0.3
PW,sea,1909,-0.4
PW,sea,1910,-0.3
PW,sea,1911,-0.7
PW,sea,1912,-0.8
PW,sea,1913,-0.8
PW,sea,1914,-0.6
PW,sea,1915,-0.3
PW,sea,1916,-0.3
PW,sea,1917,-0.3
PW,sea,1918,-1
PW,sea,1919,-0.8
PW,sea,1920,-0.7
PW,sea,1921,-0.1
PW,sea,1922,-0.2
PW,sea,1923,-0.5
PW,sea,1924,-0.4
PW,sea,1925,-0.3
PW,sea,1926,-0.5
PW,sea,1927,-0.2
PW,sea,1928,-0.4
PW,sea,1929,-0.6
PW,sea,1930,-0.6
PW,sea,1931,-0.3
PW,sea,1932,-0.5
PW,sea,1933,-0.4
PW,sea,1934,-0.4
PW,sea,1935,-0.6
PW,sea,1936,-0.5
PW,sea,1937,-0.3
PW,sea,1938,-0.3
PW,sea,1939,-0.3
PW,sea,1940,-0.5
PW,sea,1941,-0.4
PW,sea,1942,-0.2
PW,sea,1943,0
PW,sea,1944,0.1
PW,sea,1945,0.3
PW,sea,1946,0.1
PW,sea,1947,-0.2
PW,sea,1948,-0.4
PW,sea,1949,-0.5
PW,sea,1950,-0.2
PW,sea,1951,-0.3
PW,sea,1952,-0.4
PW,sea,1953,-0.2
PW,sea,1954,-0.1
PW,sea,1955,-0.3
PW,sea,1956,-0.3
PW,sea,1957,-0.2
PW,sea,1958,-0.5
PW,sea,1959,-0.4
PW,sea,1960,-0.1
PW,sea,1961,-0.3
PW,sea,1962,-0.3
PW,sea,1963,-0.3
PW,sea,1964,-0.1
PW,sea,1965,-0.5
PW,sea,1966,-0.4
PW,sea,1967,-0.5
PW,sea,1968,-0.3
PW,sea,1969,-0.2
PW,sea,1970,0
PW,sea,1971,-0.2
PW,sea,1972,-0.4
PW,sea,1973,-0.1
PW,sea,1974,-0.2
PW,sea,1975,-0.2
PW,sea,1976,-0.4
PW,sea,1977,-0.3
PW,sea,1978,-0.1
PW,sea,1979,-0.2
PW,sea,1980,-0.3
PW,sea,1981,0.1
PW,sea,1982,-0.2
PW,sea,1983,-0.2
PW,sea,1984,0
PW,sea,1985,0
PW,sea,1986,-0.1
PW,sea,1987,-0.1
PW,sea,1988,0.3
PW,sea,1989,0.2
PW,sea,1990,-0.2
PW,sea,1991,-0.4
PW,sea,1992,-0.3
PW,sea,1993,-0.4
PW,sea,1994,-0.1
PW,sea,1995,0.2
PW,sea,1996,0.3
PW,sea,1997,0
PW,sea,1998,0.4
PW,sea,1999,0.3
PW,sea,2000,0.3
PW,sea,2001,0.3
PW,sea,2002,0.1
PW,sea,2003,0.1
PW,sea,2004,0
PW,sea,2005,0.2
PW,sea,2006,0.1
PW,sea,2007,0.2
PW,sea,2008,0.2
PW,sea,2009,0.3
PW,sea,2010,0.6
PW,sea,2011,0.4
PW,sea,2012,0.4
PW,sea,2013,0.6
PW,sea,2014,0.5
PW,sea,2015,0.2
PW,sea,2016,0.6
PW,sea,2017,0.7
PW,sea,2018,0.5
PW,sea,2019,0.3
PW,sea,2020,0.7
PW,sea,2021,0.8
PW,sea,2022,0.8
PW,sea,2023,0.7
PW,sea,2024,0.8
PW,sea,2025,0.9
NU,sea,1850,-0.2
NU,sea,1851,-0.4
NU,sea,1852,0
NU,sea,1853,0.6
NU,sea,1854,0.3
NU,sea,1855,-0.2
NU,sea,1856,-0.1
NU,sea,1857,-0.2
NU,sea,1858,-0.2
NU,sea,1859,0.3
NU,sea,1860,0.1
NU,sea,1861,-0.1
NU,sea,1862,-0.1
NU,sea,1863,-0.1
NU,sea,1864,0.1
NU,sea,1865,0
NU,sea,1866,0
NU,sea,1867,0.1
NU,sea,1868,0.2
NU,sea,1869,0.1
NU,sea,1870,0.2
NU,sea,1871,0.5
NU,sea,1872,0.4
NU,sea,1873,0
NU,sea,1874,0.4
NU,sea,1875,0.4
NU,sea,1876,0.3
NU,sea,1877,-0.3
NU,sea,1878,-0.2
NU,sea,1879,0.3
NU,sea,1880,0.1
NU,sea,1881,0
NU,sea,1882,0.2
NU,sea,1883,-0.4
NU,sea,1884,-0.7
NU,sea,1885,-0.9
NU,sea,1886,-0.5
NU,sea,1887,-0.3
NU,sea,1888,-0.6
NU,sea,1889,-0.2
NU,sea,1890,-0.1
NU,sea,1891,-0.3
NU,sea,1892,-0.2
NU,sea,1893,-0.2
NU,sea,1894,-0.2
NU,sea,1895,-0.1
NU,sea,1896,-0.6
NU,sea,1897,-0.5
NU,sea,1898,0.1
NU,sea,1899,0
NU,sea,1900,-0.5
NU,sea,1901,0.3
NU,sea,1902,-0.8
NU,sea,1903,-0.4
NU,sea,1904,-0.5
NU,sea,1905,-1
NU,sea,1906,-0.1
NU,sea,1907,-0.6
NU,sea,1908,-0.6
NU,sea,1909,-0.6
NU,sea,1910,-0.3
NU,sea,1911,-0.5
NU,sea,1912,-0.5
NU,sea,1913,-0.5
NU,sea,1914,-0.4
NU,sea,1915,-0.1
NU,sea,1916,0.3
NU,sea,1917,-0.1
NU,sea,1918,-0.4
NU,sea,1919,-0.9
NU,sea,1920,-0.5
NU,sea,1921,-0.5
NU,sea,1922,-0.1
NU,sea,1923,-0.4
NU,sea,1924,0
NU,sea,1925,-0.3
NU,sea,1926,-0.6
NU,sea,1927,-0.2
NU,sea,1928,-0.4
NU,sea,1929,-0.4
NU,sea,1930,-0.7
NU,sea,1931,-0.6
NU,sea,1932,-0.2
NU,sea,1933,-0.5
NU,sea,1934,-0.4
NU,sea,1935,-0.3
NU,sea,1936,-0.2
NU,sea,1937,-0.2
NU,sea,1938,-0.1
NU,sea,1939,-0.4
NU,sea,1940,-0.5
NU,sea,1941,-0.2
NU,sea,1942,0.1
NU,sea,1943,0.5
NU,sea,1944,0.4
NU,sea,1945,0.1
NU,sea,1946,0.2
NU,sea,1947,0.1
NU,sea,1948,-0.3
NU,sea,1949,-0.1
NU,sea,1950,0.2
NU,sea,1951,0
NU,sea,1952,0.3
NU,sea,1953,0.1
NU,sea,1954,0
NU,sea,1955,0
NU,sea,1956,0.1
NU,sea,1957,-0.2
NU,sea,1958,-0.3
NU,sea,1959,-0.1
NU,sea,1960,0
NU,sea,1961,0.1
NU,sea,1962,-0.1
NU,sea,1963,-0.1
NU,sea,1964,0
NU,sea,1965,-0.4
NU,sea,1966,-0.3
NU,sea,1967,-0.1
NU,sea,1968,0.2
NU,sea,1969,-0.1
NU,sea,1970,0.2
NU,sea,1971,0.2
NU,sea,1972,-0.1
NU,sea,1973,0.5
NU,sea,1974,0.3
NU,sea,1975,0.1
NU,sea,1976,0
NU,sea,1977,-0.4
NU,sea,1978,-0.2
NU,sea,1979,-0.2
NU,sea,1980,0
NU,sea,1981,-0.1
NU,sea,1982,-0.1
NU,sea,1983,-0.3
NU,sea,1984,0
NU,sea,1985,-0.2
NU,sea,1986,-0.4
NU,sea,1987,-0.5
NU,sea,1988,0.4
NU,sea,1989,0.1
NU,sea,1990,0
NU,sea,1991,0.1
NU,sea,1992,0.1
NU,sea,1993,-0.2
NU,sea,1994,-0.1
NU,sea,1995,0.2
NU,sea,1996,0.3
NU,sea,1997,-0.2
NU,sea,1998,-0.2
NU,sea,1999,0.5
NU,sea,2000,0.6
NU,sea,2001,0.2
NU,sea,2002,0.4
NU,sea,2003,0.4
NU,sea,2004,0.6
NU,sea,2005,0.5
NU,sea,2006,0.5
NU,sea,2007,0.5
NU,sea,2008,0.5
NU,sea,2009,0.4
