election,option_norm,bloc,camp_institutionnel,parti,libelle,source,notes
legislatives_2022,GUY OLIVIER CUENOT,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,MUNEIKO HAOCAS,independantiste,independantiste,MNIS,Mouvement neo-independantiste et souverainiste,wikipedia_legislatives_2022,REG
legislatives_2022,MICHELE HOMBOE,autre,neutre,CA,Construire autrement,wikipedia_legislatives_2022,DVC
legislatives_2022,JOEL KASARHEROU,autre,neutre,CA,Construire autrement,wikipedia_legislatives_2022,DVC
legislatives_2022,PASCAL LAFLEUR,loyaliste,anti_independantiste,SE,Sans etiquette droite,wikipedia_legislatives_2022,DVD
legislatives_2022,ANTOINE GIL,loyaliste,anti_independantiste,MCF,Mouvement des citoyens francais,wikipedia_legislatives_2022,DVD
legislatives_2022,JEREMY SIMON,loyaliste,anti_independantiste,LP,Les Patriotes,wikipedia_legislatives_2022,DSV
legislatives_2022,VERONIQUE PAGAND,loyaliste,anti_independantiste,DLF,Debout la France,wikipedia_legislatives_2022,DSV
legislatives_2022,JOANNES ITITIATY,autre,neutre,SE,Sans etiquette,wikipedia_legislatives_2022,DIV
legislatives_2022,MANUEL MILLAR,autre,neutre,SE,Sans etiquette,wikipedia_legislatives_2022,DIV
legislatives_2024,NICOLAS METZDORF,loyaliste,anti_independantiste,GNC,Generations NC,wikipedia_legislatives_2024,LL-LR
legislatives_2024,ALCIDE PONGA,loyaliste,anti_independantiste,R-LR,Rassemblement - LR,wikipedia_legislatives_2024,LL-LR
legislatives_2024,OMAYRA LISA MEUN NAISSELINE,independantiste,independantiste,UC,Union caledonienne,wikipedia_legislatives_2024,REG
legislatives_2024,EMMANUEL TJIBAOU,independantiste,independantiste,UC,Union caledonienne,wikipedia_legislatives_2024,REG
legislatives_2024,PHILIPPE DUNOYER,centriste,anti_independantiste,CE,Caledonie ensemble,wikipedia_legislatives_2024,ENS
legislatives_2024,GERARD POADJA,centriste,anti_independantiste,CE,Caledonie ensemble,wikipedia_legislatives_2024,ENS
legislatives_2024,VEYLMA FALAEO,centriste,anti_independantiste,LEO,L'Eveil oceanien,wikipedia_legislatives_2024,DVG
legislatives_2024,MILAKULO TUKUMULI,centriste,anti_independantiste,LEO,L'Eveil oceanien,wikipedia_legislatives_2024,DVG
legislatives_2024,SIMON LOUECKHOTE,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2024,RN
legislatives_2024,MUNEIKO HAOCAS,independantiste,independantiste,MNIS,Mouvement neo-independantiste et souverainiste,wikipedia_legislatives_2024,REG
legislatives_2024,LUTHER VOUDJO,independantiste,independantiste,MNIS,Mouvement neo-independantiste et souverainiste,wikipedia_legislatives_2024,REG
legislatives_2024,RONALD FRERE,independantiste,independantiste,SC,Souverainete caledonienne,wikipedia_legislatives_2024,REG
legislatives_2024,JUANITA CIANE ANGEXETINE EP RAILATI,independantiste,independantiste,SE,Sans etiquette regionaliste,wikipedia_legislatives_2024,Classification tentative
legislatives_2024,GERMAINE NEMIA BISHOP,independantiste,independantiste,RA,Rassemblement autochtone,wikipedia_legislatives_2024,Classification tentative
legislatives_2024,GERMAINE TOLETA NEMIA EP BISHOP,independantiste,independantiste,RA,Rassemblement autochtone,wikipedia_legislatives_2024,Variante du libelle source; classification tentative
legislatives_2024,CEDRIC DEVAUD,autre,neutre,UPA,Union populaire avec animaux,wikipedia_legislatives_2024,ECO
legislatives_2024,PIERRE HENRI CUENOT,loyaliste,anti_independantiste,MCF,Mouvement des citoyens francais,wikipedia_legislatives_2024,DVD
legislatives_2024,THOMAS NASRI,loyaliste,anti_independantiste,REC,Reconquete,wikipedia_legislatives_2024,REC
legislatives_2024,MANUEL MILLAR,autre,neutre,CDH,CDH,wikipedia_legislatives_2024,DIV
