file,n_rows,n_cols,columns,min_year,max_year,n_geo,n_indicators,obs_non_na,obs_na
17_DF_SDG_11_A_VC_DSR_AFFCT_.csv,0,1,Could not find Dataflow and/or DSD related with this data request,Inf,-Inf,NA,NA,NA,NA
18_DF_SDG_11_A_VC_DSR_AALT_T_.csv,0,1,Could not find Dataflow and/or DSD related with this data request,Inf,-Inf,NA,NA,NA,NA
19_DF_SDG_03_A_SH_TBS_INCD_.csv,0,1,Could not find Dataflow and/or DSD related with this data request,Inf,-Inf,NA,NA,NA,NA
20_DF_SDG_A_EG_FEC_RNEW_T_T_T_T_T_T_Z_T.csv,0,1,Could not find Dataflow and/or DSD related with this data request,Inf,-Inf,NA,NA,NA,NA
21_DF_SDG_06_A_SH_H2O_SAFE_T_.csv,0,1,Could not find Dataflow and/or DSD related with this data request,Inf,-Inf,NA,NA,NA,NA
22_DF_CLIMATE_CHANGE_A_POWER_GEN_.csv,432,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,2000,2023,18,1,432,0
23_DF_POWER_GEN_A_.csv,5300,13,DATAFLOW | FREQ | GEO_PICT | ENERGY_SOURCE | GRID_CONN | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,2000,2023,18,NA,5300,0
24_DF_CLIMATE_CHANGE_A_METEO_MONITOR_NET_.csv,1650,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1889,2026,18,1,1650,0
25_DF_METEO_MONITOR_NET_A_.csv,1650,12,DATAFLOW | FREQ | GEO_PICT | METEO_STATION_TYPE | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1889,2026,18,NA,1650,0
26_DF_CLIMATE_CHANGE_A_FISH_MNGT_MULT_BILAT_ARGMT_.csv,1563,12,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | OBS_VALUE | OBS_STATUS | UNIT_MEASURE | ERROR_TYPE | ERROR_VAL | REPORTING_TYPE | OBS_COMMENT,1903,2026,22,1,1563,0
